TOP.5e6eb73a.000cfb6a	START
TOP.5e6eb7e6.000de8f0	user_options->workload_profile	2
TOP.5e6eb7e6.000de8f0	user_options->brain_client	0
TOP.5e6eb7e6.000de8f0	user_options->brain_client_features	2
TOP.5e6eb7e6.000de8f0	user_options->brain_server	0
TOP.5e6eb7e6.000de8f0	user_options->brain_port	6863
TOP.5e6eb7e6.000de8f0	user_options->brain_session	0
TOP.5e6eb7e6.000de8f0	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e6eb7e6.000de8f0	hashes->hashlist_mode	4
TOP.5e6eb7e6.000de8f0	hashes->hashlist_format	0
TOP.5e6eb7e6.000de8f0	hashes->hashes_cnt	0
TOP.5e6eb7e6.000de8f0	hashes->digests_cnt	1
TOP.5e6eb7e6.000de8f0	hashes->digests_done	0
TOP.5e6eb7e6.000de8f0	hashes->salts_cnt	1
TOP.5e6eb7e6.000de8f0	hashes->salts_done	0
TOP.5e6eb7e6.000de8f0	proc_start	1584314342
TOP.5e6eb7e6.000de8f0	proc_stop	1584314344
TOP.5e6eb7e6.000de8f0	STOP
